id,name,lat,lon,address,categories,indian-restaurants,gyms,parks,groceries,cafe,pharmacy,shopping mall
50b89055498e6c9d5e6867bb,Café Coffee Day,13.145064719956233,77.56775466201839,,"['Coffee Shop', 'Café']",5,5,5,5,5,5,5
50fbb9a1e4b0aa46b66ee7f8,Bhagini Pavilion,13.145139688294375,77.57004945384895,"Singhanayaka Hallu (Doddabalapura Main Road), Bangalore, Karnātaka",['Indian Restaurant'],6,6,6,6,6,6,6
523d2d6e498edcd74f662f6a,Sunburn Arena I AM Hardwell,13.124011189820315,77.59509883674983,"Supernova Convention Centre (Yelhanka), Bangalore, Karnātaka",['Arts and Entertainment'],6,6,6,6,6,6,6
51d5b1a6498ec91fbda4d51f,Café Coffee Day,13.154613,77.567784,Karnātaka,"['Coffee Shop', 'Café']",6,6,6,6,6,6,6
5247a47a11d2b4e2a1590ad1,Café Coffee Day,13.154722213745117,77.56767272949219,"Hotel Saileela Singanayakanahalli (Yelahanka), Bangalore 560082, Karnātaka","['Coffee Shop', 'Café']",6,6,6,6,6,6,6
5124b4cbe4b0047c5ad8902a,Kanti Sweets,13.093498229269551,77.58242890586968,"#293, SMK complex (1st Main Road,chikkanommasandra Circle), Yelahanka Newtown, Bangalore 560064, Karnātaka","['Dessert Shop', 'Snack Place']",28,28,28,28,28,28,28
5551e766498e585e9d0046dc,Café Coffee Day,13.10356050006949,77.58440897583748,Next to Navachetana hospital,"['Coffee Shop', 'Café']",34,34,34,34,34,34,34
4cfb9f16dccef04d1c34bc9c,Just Bake,13.099574459391269,77.57800916914327,"Nr Yelahanka Police station, Bangalore, Karnātaka","['Bakery', 'Snack Place']",50,50,50,50,50,50,50
5d20ec5533b3200023f81131,"Inox Garuda, YNT",13.097468,77.583889,"Garuda Mall, Yelahanka, Bangalore 560064, Karnātaka",['Movie Theater'],36,36,36,36,36,36,36
4c5fc61e924b76b0d2e8e7b9,Café Coffee Day,13.099390491804176,77.58828222751241,"Yelahanka New town, (opp sheshadripuram college), Bangalore 560064, Karnātaka","['Coffee Shop', 'Café']",48,48,48,48,48,48,48
55993ee2498e6d86f2cb3f97,Baskin-Robbins,13.099454,77.589212,"721 16th A Main Road, Bangalore, Karnātaka",['Ice Cream Parlor'],46,46,46,46,46,46,46
5028dacbe4b0fe423e5bf26c,Rolls On Wheels,13.107072600604367,77.58132124359582,"Next to Foodworld, Puthenahalli (Yelahanka New Town), Bangalore, Karnātaka","['Food Truck', 'Burrito Restaurant', 'Restaurant']",45,45,45,45,45,45,45
6529386934698f29a0bbf015,Infra.Market Concrete Plant,13.1515804,77.5429763,"No 55, Yelahanka Main Road,Thanisandra Main Road (Bellahalli), Bangalore 560064, Karnātaka",['Hardware Store'],1,1,1,1,1,1,1
523ee09a498e8f61ad3972dd,Subway,13.099440172081719,77.58935483292368,"16 A Main Rd, Yelahanka Satellite Town, Yelahanka, Bangalore (Yelahanka New Town), Bangalore 560064, Karnātaka","['Sandwich Spot', 'Fast Food Restaurant']",46,46,46,46,46,46,46
4dfda16f52b189230310751d,Embassy International Riding School,13.17421146196576,77.59719722600528,"149-2.And223, Torhunse Village, Jala Hobli, Devanahalli Taluq, Bangalore, Karnātaka","['Music Venue', 'Other Great Outdoors']",6,6,6,6,6,6,6
505f02ebe4b0533a725a3d20,Cafe Potenza,13.12192543195606,77.62303553854565,"Bagalur Main Road, Bangalore, Karnātaka",['Café'],17,17,17,17,17,17,17
5b7837d56e4650003a281a65,Lifestyle,13.094089,77.59555,"RMZ Galleria Mall (Yelahanka New Town), Bangalore 560064, Karnātaka",['Clothing Store'],40,40,40,40,40,40,40
54cf2060498e7db4b0f114ab,Decathlon,13.168697398893203,77.63238890489083,"Bangalore, Karnātaka","['Bicycle Store', 'Sporting Goods Retail']",15,15,15,15,15,15,15
4cea8403595cb1f78659d414,Café Coffee Day,13.094996781004445,77.59730068333636,"NH7 Yelahanka Bypass (No 5, Gandhinagar, Yelahanka), Bangalore, Karnātaka","['Coffee Shop', 'Café']",32,32,32,32,32,32,32
4d25ddf6be99b60cd307fb6e,Domino's Pizza,13.09961799286654,77.58903533036269,"#3 Jubilant foodworks, Bangalore 500064, Karnātaka",['Pizzeria'],45,45,45,45,45,45,45
512c9a2be4b082912c549894,Rajanakunte,13.173294861816537,77.56442992992052,,['Neighborhood'],8,8,8,8,8,8,8
4c614d5f924b76b024f7fab9,Café Coffee Day,13.145366004172379,77.61790616731058,"Sharath complex,No.174 (Hunasamaranahalli), Bangalore, Karnātaka","['Coffee Shop', 'Arcade']",19,19,19,19,19,19,19
4ef1016a5c5cfe0cf5c86850,NES Bus Stop,13.09768414838046,77.59172328799946,,['Smoke Shop'],48,48,48,48,48,48,48
54a60cbb498efd1a46599a93,A2B restaurant,13.15216625524829,77.62064826601289,,['Indian Restaurant'],14,14,14,14,14,14,14
