lat,lon,name,place_name,amenity_pharmacy,amenity_restaurant,amenity_school,amenity_cafe,amenity_hospital,amenity_bank,leisure_fitness_centre,leisure_sports_centre
13.032046422453332,77.60950561346421,shanthi nikethan,Sulthanpalya,13.0,5.0,12,3.0,5.0,1.0,1.0,4.0
12.927120623003566,77.68645249623852,vijayasri golden orchid,Bellanduru,3.0,46.0,1,13.0,1.0,4.0,1.0,6.0
12.90190651053383,77.59030258944412,mahaveer springs,JP Nagar,15.0,68.0,18,21.0,10.0,21.0,10.0,7.0
12.917767124093922,77.6892306572715,jasmine tower-5 block v,Doddakannalli,1.0,45.0,5,15.0,3.0,4.0,2.0,2.0
12.925522324761646,77.66946383649613,dsr regency,Green Glen Layout,8.0,46.0,6,12.0,11.0,19.0,8.0,6.0
12.978223824937599,77.68407313938918,diya constructions,Abbaiah Reddy Layout,9.0,20.0,9,1.0,5.0,6.0,4.0,5.0
12.933162334296492,77.50531306898013,research scholars' hostel,Rajarajeshwari Nagar,0.0,3.0,5,2.0,1.0,0.0,0.0,1.0
13.0044084139944,77.62197835809216,north star,Lingarajapuram,19.0,34.0,14,12.0,9.0,21.0,6.0,6.0
13.064071124017401,77.63876432284955,block-c,Golden Palms Apartments,6.0,8.0,9,7.0,3.0,5.0,0.0,3.0
12.916847212376307,77.69774259495281,shakti 80 trees,Doddakannalli,5.0,5.0,5,1.0,1.0,2.0,1.0,0.0
13.00357164365799,77.62132716807069,pearl house,Lingarajapuram,18.0,36.0,16,14.0,9.0,23.0,7.0,6.0
12.904281919362385,77.6855282240395,257,Doddakannalli,3.0,13.0,5,9.0,6.0,7.0,1.0,2.0
12.957701074586836,77.72113421466139,bellmount residency,BEML Layout 6th Stage,29.0,73.0,13,34.0,9.0,15.0,17.0,10.0
13.066282540441971,77.55496592699814,ashirwad,Vidyaranyapura,6.0,2.0,10,5.0,1.0,7.0,1.0,2.0
12.94376563654257,77.687892154,i5,Marathahalli,2.0,25.0,5,5.0,0.0,4.0,2.0,2.0
12.957524566278055,77.57516372890028,bmc driver's quarters,Chamarajapete,5.0,21.0,20,2.0,25.0,31.0,5.0,2.0
12.931581850856604,77.69602255088846,oak 1,Panathur,3.0,27.0,8,6.0,1.0,3.0,2.0,8.0
12.899821159506104,77.67564527547437,kristal jasper,Haralur,4.0,5.0,6,2.0,2.0,3.0,1.0,3.0
12.965186623844046,77.60496514286322,skyline olympia,Richmond Town,14.0,110.0,36,49.0,9.0,49.0,6.0,7.0
12.96484699615927,77.64004672047915,mln raos,Indiranagar,29.0,150.0,22,50.0,17.0,37.0,11.0,6.0
13.004526450001698,77.62653315000124,shakuntala nivas,Lingarajapuram,18.0,14.0,6,8.0,5.0,16.0,2.0,6.0
13.072472418773637,77.62644543725104,aniket nilayam,Arkavathy Layout,0.0,3.0,7,0.0,1.0,5.0,0.0,2.0
12.991982699998331,77.66113574998697,sv serinity,C V Raman Nagar,6.0,16.0,4,2.0,2.0,9.0,0.0,0.0
12.906715549999623,77.63952279999957,911g,HSR Layout,7.0,66.0,18,33.0,7.0,15.0,4.0,8.0
12.999095656751662,77.62369733146055,marko villa,Frazer Town,19.0,29.0,15,14.0,7.0,24.0,3.0,6.0
12.917891700073724,77.67275243426405,divyashree elan - 1a,Haralur,10.0,55.0,7,24.0,19.0,28.0,7.0,4.0
12.948662538141212,77.69324378434456,tower c,Marathahalli,11.0,72.0,3,3.0,4.0,10.0,1.0,8.0
13.050631757199147,77.5956613759827,tower 9,Hebbal,7.0,41.0,9,5.0,5.0,6.0,1.0,5.0
13.003469038995805,77.62328258366549,samrat,Lingarajapuram,21.0,31.0,13,14.0,7.0,22.0,4.0,6.0
12.863477574540092,77.53678481163949,tower 7,Judicial Layout Phase II,4.0,7.0,6,2.0,0.0,2.0,0.0,1.0
12.907598950003244,77.5527782499994,niveditha apartments,Uttarahalli,6.0,8.0,9,2.0,5.0,11.0,1.0,0.0
13.014388174401956,77.57922935584158,ranka enclave,Sadashivanagar,7.0,19.0,9,13.0,5.0,17.0,2.0,3.0
12.866154345396437,77.58037497511613,radiant elitaire,Gottigere,0.0,3.0,10,0.0,1.0,2.0,2.0,1.0
12.980663100063607,77.69532610004387,vrr elegance,Bengaluru,5.0,29.0,4,3.0,3.0,4.0,2.0,5.0
12.9975030245557,77.5834248567851,fascinate manor,Vasanth Nagar,9.0,28.0,11,10.0,7.0,26.0,4.0,1.0
12.998772868172658,77.62292535160839,laxmi nivas,Lingarajapuram,19.0,34.0,19,14.0,5.0,24.0,6.0,6.0
12.991426685726385,77.70168302117307,a block,Mahadevapura,2.0,19.0,4,9.0,3.0,6.0,2.0,4.0
12.918021113418606,77.67385782584381,pratle - 1e,Haralur,9.0,57.0,6,25.0,18.0,29.0,8.0,3.0
12.999064150012787,77.62298985001134,gp nest,Lingarajapuram,20.0,34.0,19,14.0,6.0,25.0,6.0,6.0
12.907048897184477,77.6788196139563,vaishanavi orchid,Junnasandra,6.0,24.0,3,13.0,10.0,14.0,3.0,7.0
12.916406015800488,77.69667244141577,block-j,Doddakannalli,6.0,8.0,6,1.0,0.0,2.0,1.0,0.0
12.927888582415328,77.6990415301339,g-2,Panathur,2.0,11.0,6,4.0,1.0,2.0,1.0,5.0
12.995590313535862,77.73100072361363,tower 14,Hoodi,0.0,22.0,1,6.0,5.0,1.0,1.0,3.0
12.991321471712261,77.61593352742351,redifice arlington promenade,Frazer Town,11.0,48.0,24,14.0,13.0,26.0,7.0,6.0
12.94783284163635,77.7174739112004,f,Balagere,14.0,41.0,7,11.0,6.0,7.0,4.0,6.0
12.967199897322494,77.7502250509079,a block,Whitefield,7.0,25.0,16,10.0,6.0,12.0,7.0,2.0
12.972801592259996,77.6404885253705,vars magnolia,Indiranagar,35.0,206.0,28,72.0,27.0,58.0,15.0,9.0
12.9082093737648,77.64150726541996,veena,HSR Layout,14.0,82.0,20,40.0,13.0,19.0,8.0,7.0
12.955271979233123,77.64804186604266,block 20,Rustum Bagh,15.0,55.0,9,10.0,11.0,14.0,1.0,8.0
12.99903039336023,77.62381771853913,padua,Frazer Town,19.0,30.0,14,14.0,6.0,24.0,3.0,6.0
13.004639242679193,77.62145612151356,modi pride,Lingarajapuram,19.0,33.0,14,12.0,9.0,20.0,6.0,6.0
12.982855510577687,77.72140281331733,circular apartment-1,EPIP Zone,6.0,33.0,7,11.0,5.0,7.0,1.0,5.0
12.966256933980132,77.7168731186791,parimala archid,EPIP Zone,27.0,52.0,12,32.0,8.0,9.0,16.0,7.0
12.861052749785625,77.53003455086903,tower 2,Kanakapura Road,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0
13.11675088520767,77.57692465899572,phase 2,Isaac Layout,0.0,4.0,1,0.0,3.0,0.0,0.0,0.0
12.965615447554312,77.7256366684076,tower j,Shriram Samskruti Apartments,16.0,29.0,8,14.0,2.0,0.0,6.0,4.0
13.03652617912713,77.6655826374295,sri gayathri prime,Horamavu,5.0,5.0,10,0.0,3.0,1.0,1.0,0.0
12.974502850045607,77.62487799997187,bhadra landmark,Halasuru,10.0,30.0,20,9.0,13.0,19.0,3.0,1.0
13.037302669311508,77.59738305595573,meridian garden,Hebbal,2.0,8.0,7,1.0,3.0,3.0,0.0,1.0
12.920154624068497,77.69499297697257,c2,Doddakannalli,4.0,16.0,2,4.0,0.0,1.0,1.0,5.0
12.925520043545932,77.67273552806755,feb 30 marigold coliving pg,Bellanduru,8.0,47.0,4,13.0,10.0,18.0,8.0,6.0
12.899607900000001,77.621306,block b,Hongasandra,9.0,8.0,22,1.0,10.0,2.0,0.0,1.0
12.920952500017764,77.53709205000635,elana,The Promont,1.0,4.0,4,2.0,2.0,0.0,0.0,1.0
12.899038857107639,77.65319137760434,nd sepal d block,Kudlu,7.0,6.0,7,4.0,2.0,3.0,2.0,0.0
12.89819354397367,77.6739373681483,sathya nilayam,Haralur,2.0,4.0,6,1.0,1.0,1.0,1.0,1.0
12.917200429387224,77.68990285581566,maple tower-5 block t,Doddakannalli,5.0,43.0,5,14.0,3.0,4.0,2.0,2.0
12.93219316049888,77.7457326081077,tower b,Varthur,6.0,14.0,8,4.0,3.0,1.0,1.0,1.0
12.902360594219138,77.66278222966089,tower 1,Haralur,3.0,1.0,4,1.0,2.0,1.0,1.0,1.0
12.9650771499952,77.53231099999685,sapthagiri nilaya,Vijaya Nagar,21.0,41.0,12,9.0,30.0,25.0,2.0,8.0
12.933396399964742,77.70410589848088,n m vihar,Panathur,2.0,22.0,6,2.0,1.0,2.0,1.0,5.0
12.927520150015498,77.67249195000906,kaveri residency,Bellanduru,8.0,43.0,4,12.0,8.0,17.0,7.0,5.0
12.921187236511395,77.49271473406144,block d-e,Kengeri,2.0,7.0,8,3.0,3.0,2.0,0.0,1.0
12.864245353816845,77.61146534993753,tower 15,Beguru,1.0,0.0,5,2.0,0.0,0.0,0.0,0.0
