,cook,eating_out,employment,ethnic_food,exercise,fruit_day,income,on_off_campus,pay_meal_out,sports,veggies_day
0,2.0,3,3.0,1,1.0,5,5.0,1.0,2,1.0,5
1,3.0,2,2.0,4,1.0,4,4.0,1.0,4,1.0,4
2,2.0,2,3.0,5,3.0,4,6.0,1.0,2,2.0,3
3,1.0,2,2.0,4,1.0,4,6.0,1.0,4,1.0,4
4,3.0,2,2.0,2,2.0,5,5.0,1.0,5,2.0,4
5,3.0,3,3.0,5,1.0,5,4.0,1.0,3,1.0,5
6,3.0,1,2.0,5,1.0,5,5.0,1.0,3,1.0,5
7,3.0,1,2.0,2,2.0,5,1.0,1.0,2,2.0,5
8,3.0,3,2.0,1,3.0,5,5.0,1.0,2,2.0,5
9,4.0,2,2.0,5,3.0,3,4.0,1.0,3,1.0,4
10,1.0,4,3.0,4,1.0,4,4.0,1.0,3,2.0,4
11,3.0,2,3.0,2,1.0,4,6.0,1.0,3,1.0,3
12,3.0,2,2.0,2,1.0,3,5.0,1.0,4,1.0,3
13,4.0,2,3.0,4,3.0,3,3.0,1.0,3,2.0,3
14,4.0,3,3.0,2,1.0,5,6.0,1.0,4,1.0,4
15,3.0,4,2.0,4,1.0,5,6.0,1.0,3,1.0,5
16,2.0,2,2.0,4,3.0,3,6.0,1.0,4,1.0,4
17,3.0,2,3.0,4,2.0,4,5.0,1.0,3,1.0,3
18,3.0,2,3.0,4,1.0,3,6.0,1.0,3,1.0,4
19,2.0,4,2.0,4,1.0,5,3.0,1.0,3,2.0,5
20,4.0,2,2.0,3,1.0,5,6.0,1.0,3,2.0,4
21,3.0,1,2.0,5,1.0,4,3.0,1.0,2,2.0,4
22,3.0,2,2.0,5,1.0,5,6.0,1.0,4,2.0,5
23,3.0,2,2.0,4,2.0,4,4.0,1.0,3,1.0,4
24,4.0,2,2.0,3,1.0,5,6.0,1.0,3,1.0,5
25,4.0,2,3.0,4,1.0,5,5.0,1.0,3,1.0,5
26,3.0,3,3.0,5,1.0,5,6.0,1.0,3,1.0,4
27,2.0,3,2.0,2,1.0,4,5.0,1.0,3,1.0,4
28,3.0,4,3.0,5,1.0,5,5.0,1.0,3,1.0,5
29,1.0,3,2.0,4,1.0,5,2.0,1.0,2,1.0,5
30,2.0,3,3.0,3,2.0,3,6.0,1.0,5,2.0,3
31,2.0,2,3.0,3,1.0,5,4.0,1.0,3,1.0,5
32,4.0,3,2.0,5,2.0,5,5.0,1.0,4,1.0,5
33,3.0,1,3.0,4,1.0,5,6.0,1.0,4,1.0,5
34,3.0,1,2.0,5,2.0,5,3.0,1.0,3,1.0,5
35,3.0,1,2.0,4,2.0,5,5.0,1.0,2,2.0,5
36,3.0,2,2.0,5,1.0,5,5.0,1.0,4,2.0,4
37,2.0,2,2.0,3,1.0,5,5.0,1.0,3,1.0,4
38,2.0,2,2.0,5,1.0,4,1.0,1.0,2,1.0,4
39,1.0,2,3.0,5,1.0,5,5.0,1.0,3,1.0,5
40,3.0,3,2.0,3,3.0,5,6.0,1.0,3,2.0,4
41,2.0,1,3.0,4,2.0,5,6.0,1.0,3,1.0,4
42,4.0,2,2.0,3,1.0,4,6.0,1.0,3,1.0,4
43,3.0,1,2.0,5,1.0,4,2.0,1.0,4,2.0,4
44,3.0,2,2.0,5,1.0,5,3.0,1.0,3,2.0,5
45,4.0,2,3.0,3,1.0,5,6.0,1.0,4,1.0,4
46,4.0,2,3.0,5,3.0,4,4.0,1.0,4,2.0,5
47,2.0,2,2.0,5,1.0,5,6.0,1.0,3,1.0,5
48,3.0,2,3.0,4,1.0,4,5.0,1.0,3,1.0,4
49,3.0,2,2.0,3,1.0,5,5.0,1.0,5,1.0,5
50,4.0,3,2.0,3,1.0,5,4.0,1.0,3,1.0,5
51,3.0,2,2.0,5,2.0,5,2.0,1.0,2,1.0,5
52,3.0,2,2.0,5,3.0,5,5.0,1.0,2,2.0,5
53,2.0,3,3.0,5,1.0,5,5.0,1.0,3,2.0,5
54,2.0,2,2.0,5,2.0,5,4.0,1.0,3,2.0,5
55,4.0,2,2.0,4,1.0,4,5.0,1.0,4,2.0,5
56,2.0,2,2.0,4,1.0,4,4.0,1.0,3,2.0,4
57,2.0,3,2.0,2,3.0,4,6.0,1.0,3,2.0,3
58,1.0,4,3.0,5,1.0,5,6.0,1.0,3,2.0,3
59,3.0,3,3.0,4,2.0,4,3.0,1.0,5,1.0,3
60,3.0,4,3.0,4,2.0,5,1.0,1.0,3,2.0,5
61,3.0,2,2.0,4,1.0,3,2.0,1.0,2,2.0,3
62,2.0,2,2.0,5,2.0,5,2.0,1.0,3,1.0,5
63,3.0,4,3.0,3,2.0,4,2.0,1.0,4,1.0,5
64,3.0,3,3.0,5,2.0,4,2.0,1.0,4,2.0,4
65,3.0,1,2.0,3,2.0,3,5.0,1.0,3,2.0,4
